Década;Año;Continente;País;Line Group (Path ID);Point Order;Valor
1970;1970;América;Canadá;18;1;0
1970;1970;América;Colombia;19;1;0
1970;1970;América;Cuba;20;1;0
1970;1970;América;Ecuador;21;1;0
1970;1970;América;Estados Unidos;22;1;0
1970;1970;América;México;23;1;0
1970;1970;América;Trinidad y Tobago;24;1;0
1970;1970;América;Venezuela;25;1;1996,708
1970;1970;América;Otros América;26;1;0
1970;1970;Europa y Euroasia;Alemania;28;1;0
1970;1970;Europa y Euroasia;Azerbaiyán;29;1;0
1970;1970;Europa y Euroasia;Dinamarca;30;1;0
1970;1970;Europa y Euroasia;Estonia;31;1;0
1970;1970;Europa y Euroasia;Francia;32;1;0
1970;1970;Europa y Euroasia;Georgia;33;1;0
1970;1970;Europa y Euroasia;Grecia;34;1;0
1970;1970;Europa y Euroasia;Italia;35;1;0
1970;1970;Europa y Euroasia;Kazajistán;36;1;0
1970;1970;Europa y Euroasia;Letonia;37;1;0
1970;1970;Europa y Euroasia;Lituania;38;1;0
1970;1970;Europa y Euroasia;Noruega;39;1;0
1970;1970;Europa y Euroasia;Países Bajos;40;1;0
1970;1970;Europa y Euroasia;Polonia;41;1;0
1970;1970;Europa y Euroasia;Reino Unido;42;1;0
1970;1970;Europa y Euroasia;Rumania;43;1;0
1970;1970;Europa y Euroasia;Rusia;44;1;0
1970;1970;Europa y Euroasia;Suecia;45;1;0
1970;1970;Europa y Euroasia;Turquía;46;1;0
1970;1970;Europa y Euroasia;Ucrania;47;1;0
1970;1970;Europa y Euroasia;Otros FSU;48;1;0
1970;1970;Europa y Euroasia;Otros Europa;49;1;0
1970;1970;Oriente Medio;Arabia Saudí;50;1;8952,899
1970;1970;Oriente Medio;EAU;51;1;1231,335
1970;1970;Oriente Medio;Irak;52;1;2522,206
1970;1970;Oriente Medio;Irán;53;1;2256,654
1970;1970;Oriente Medio;Kuwait;54;1;2070,849
1970;1970;Oriente Medio;Omán;55;1;0
1970;1970;Oriente Medio;Qatar;56;1;0
1970;1970;Oriente Medio;Siria;57;1;0
1970;1970;Oriente Medio;Yemen;58;1;0
1970;1970;Oriente Medio;Otros OM;59;1;0
1970;1970;Asia-Pacífico;China;61;1;0
1970;1970;Asia-Pacífico;India;62;1;0
1970;1970;Asia-Pacífico;Indonesia;63;1;0
1970;1971;África;Angola;1;1;0
1970;1971;África;Argelia;2;1;2447,432
1970;1971;África;Benin;3;1;0
1970;1971;África;Camerún;4;1;0
1970;1971;África;Congo;5;1;0
1970;1971;África;Egipto;6;1;1178,805
1970;1971;África;Gabón;7;1;0
1970;1971;África;Guinea Ecuatorial;9;1;0
1970;1971;África;Libia;10;1;5983,406
1970;1971;África;Nigeria;11;1;1413,29
1970;1971;África;Túnez;12;1;0
1970;1971;África;Zaire;13;1;0
1970;1971;África;Otros África;14;1;0
1970;1971;América;Argentina;16;1;0
1970;1971;América;Brasil;17;1;0
1970;1971;América;Canadá;18;1;0
1970;1971;América;Colombia;19;1;0
1970;1971;América;Cuba;20;1;0
1970;1971;América;Ecuador;21;1;0
1970;1971;América;Estados Unidos;22;1;0
1970;1971;América;México;23;1;0
1970;1971;América;Trinidad y Tobago;24;1;0
1970;1971;América;Venezuela;25;1;1846,543
1970;1971;América;Otros América;26;1;0
1970;1971;Europa y Euroasia;Alemania;28;1;0
1970;1971;Europa y Euroasia;Azerbaiyán;29;1;0
1970;1971;Europa y Euroasia;Dinamarca;30;1;0
1970;1971;Europa y Euroasia;Estonia;31;1;0
1970;1971;Europa y Euroasia;Francia;32;1;0
1970;1971;Europa y Euroasia;Georgia;33;1;0
1970;1971;Europa y Euroasia;Grecia;34;1;0
1970;1971;Europa y Euroasia;Italia;35;1;0
1970;1971;Europa y Euroasia;Kazajistán;36;1;0
1970;1971;Europa y Euroasia;Letonia;37;1;0
1970;1971;Europa y Euroasia;Lituania;38;1;0
1970;1971;Europa y Euroasia;Noruega;39;1;0
1970;1971;Europa y Euroasia;Países Bajos;40;1;0
1970;1971;Europa y Euroasia;Polonia;41;1;0
1970;1971;Europa y Euroasia;Reino Unido;42;1;0
1970;1971;Europa y Euroasia;Rumania;43;1;0
1970;1971;Europa y Euroasia;Rusia;44;1;306,508
1970;1971;Europa y Euroasia;Suecia;45;1;0
1970;1971;Europa y Euroasia;Turquía;46;1;0
1970;1971;Europa y Euroasia;Ucrania;47;1;0
1970;1971;Europa y Euroasia;Otros FSU;48;1;0
1970;1971;Europa y Euroasia;Otros Europa;49;1;0
1970;1971;Oriente Medio;Arabia Saudí;50;1;12004,886
1970;1971;Oriente Medio;EAU;51;1;1646,489
1970;1971;Oriente Medio;Irak;52;1;2020,486
1970;1971;Oriente Medio;Irán;53;1;3227,021
1970;1971;Oriente Medio;Kuwait;54;1;3276,023
1970;1971;Oriente Medio;Omán;55;1;0
1970;1971;Oriente Medio;Qatar;56;1;84,873
1970;1971;Oriente Medio;Siria;57;1;0
1970;1971;Oriente Medio;Yemen;58;1;0
1970;1971;Oriente Medio;Otros OM;59;1;0
1970;1971;Asia-Pacífico;China;61;1;0
1970;1971;Asia-Pacífico;India;62;1;0
1970;1971;Asia-Pacífico;Indonesia;63;1;0
1970;1972;África;Angola;1;1;262,07
1970;1972;África;Argelia;2;1;4722,605
1970;1972;África;Benin;3;1;0
1970;1972;África;Camerún;4;1;0
1970;1972;África;Congo;5;1;0
1970;1972;África;Egipto;6;1;329,312
1970;1972;África;Gabón;7;1;0
1970;1972;África;Guinea Ecuatorial;9;1;0
1970;1972;África;Libia;10;1;2739,118
1970;1972;África;Nigeria;11;1;1224,502
1970;1972;África;Túnez;12;1;0
1970;1972;África;Zaire;13;1;0
1970;1972;África;Otros África;14;1;0
1970;1972;América;Argentina;16;1;0
1970;1972;América;Brasil;17;1;0
1970;1972;América;Canadá;18;1;0
1970;1972;América;Colombia;19;1;0
1970;1972;América;Cuba;20;1;0
1970;1972;América;Ecuador;21;1;0
1970;1972;América;Estados Unidos;22;1;0
1970;1972;América;México;23;1;0
1970;1972;América;Trinidad y Tobago;24;1;0
1970;1972;América;Venezuela;25;1;1544,602
1970;1972;América;Otros América;26;1;0
1970;1972;Europa y Euroasia;Alemania;28;1;0
1970;1972;Europa y Euroasia;Azerbaiyán;29;1;0
1970;1972;Europa y Euroasia;Dinamarca;30;1;0
1970;1972;Europa y Euroasia;Estonia;31;1;0
1970;1972;Europa y Euroasia;Francia;32;1;0
1970;1972;Europa y Euroasia;Georgia;33;1;0
1970;1972;Europa y Euroasia;Grecia;34;1;0
1970;1972;Europa y Euroasia;Italia;35;1;0
1970;1972;Europa y Euroasia;Kazajistán;36;1;0
1970;1972;Europa y Euroasia;Letonia;37;1;0
1970;1972;Europa y Euroasia;Lituania;38;1;0
1970;1972;Europa y Euroasia;Noruega;39;1;0
1970;1972;Europa y Euroasia;Países Bajos;40;1;0
1970;1972;Europa y Euroasia;Polonia;41;1;0
1970;1972;Europa y Euroasia;Reino Unido;42;1;0
1970;1972;Europa y Euroasia;Rumania;43;1;0
1970;1972;Europa y Euroasia;Rusia;44;1;713,129
1970;1972;Europa y Euroasia;Suecia;45;1;0
1970;1972;Europa y Euroasia;Turquía;46;1;0
1970;1972;Europa y Euroasia;Ucrania;47;1;0
1970;1972;Europa y Euroasia;Otros FSU;48;1;0
1970;1972;Europa y Euroasia;Otros Europa;49;1;0
1970;1972;Oriente Medio;Arabia Saudí;50;1;15626,531
1970;1972;Oriente Medio;EAU;51;1;1749,671
1970;1972;Oriente Medio;Irak;52;1;1735,592
1970;1972;Oriente Medio;Irán;53;1;3253,466
1970;1972;Oriente Medio;Kuwait;54;1;3260,505
1970;1972;Oriente Medio;Omán;55;1;0
1970;1972;Oriente Medio;Qatar;56;1;89,633
1970;1972;Oriente Medio;Siria;57;1;0
1970;1972;Oriente Medio;Yemen;58;1;0
1970;1972;Oriente Medio;Otros OM;59;1;0
1970;1972;Asia-Pacífico;China;61;1;0
1970;1972;Asia-Pacífico;India;62;1;0
1970;1972;Asia-Pacífico;Indonesia;63;1;0
1970;1973;África;Angola;1;1;98,536
1970;1973;África;Argelia;2;1;4658,129
1970;1973;África;Benin;3;1;0
1970;1973;África;Camerún;4;1;0
1970;1973;África;Congo;5;1;0
1970;1973;África;Egipto;6;1;0
1970;1973;África;Gabón;7;1;0
1970;1973;África;Guinea Ecuatorial;9;1;0
1970;1973;África;Libia;10;1;1658,067
1970;1973;África;Nigeria;11;1;223,651
1970;1973;África;Túnez;12;1;0
1970;1973;África;Zaire;13;1;0
1970;1973;África;Otros África;14;1;0
1970;1973;América;Argentina;16;1;0
1970;1973;América;Brasil;17;1;0
1970;1973;América;Canadá;18;1;0
1970;1973;América;Colombia;19;1;0
1970;1973;América;Cuba;20;1;0
1970;1973;América;Ecuador;21;1;0
1970;1973;América;Estados Unidos;22;1;0
1970;1973;América;México;23;1;0
1970;1973;América;Trinidad y Tobago;24;1;0
1970;1973;América;Venezuela;25;1;1363,358
1970;1973;América;Otros América;26;1;0
1970;1973;Europa y Euroasia;Alemania;28;1;0
1970;1973;Europa y Euroasia;Azerbaiyán;29;1;0
1970;1973;Europa y Euroasia;Dinamarca;30;1;0
1970;1973;Europa y Euroasia;Estonia;31;1;0
1970;1973;Europa y Euroasia;Francia;32;1;0
1970;1973;Europa y Euroasia;Georgia;33;1;0
1970;1973;Europa y Euroasia;Grecia;34;1;0
1970;1973;Europa y Euroasia;Italia;35;1;0
1970;1973;Europa y Euroasia;Kazajistán;36;1;0
1970;1973;Europa y Euroasia;Letonia;37;1;0
1970;1973;Europa y Euroasia;Lituania;38;1;0
1970;1973;Europa y Euroasia;Noruega;39;1;0
1970;1973;Europa y Euroasia;Países Bajos;40;1;0
1970;1973;Europa y Euroasia;Polonia;41;1;0
1970;1973;Europa y Euroasia;Reino Unido;42;1;0
1970;1973;Europa y Euroasia;Rumania;43;1;0
1970;1973;Europa y Euroasia;Rusia;44;1;338,052
1970;1973;Europa y Euroasia;Suecia;45;1;0
1970;1973;Europa y Euroasia;Turquía;46;1;0
1970;1973;Europa y Euroasia;Ucrania;47;1;0
1970;1973;Europa y Euroasia;Otros FSU;48;1;0
1970;1973;Europa y Euroasia;Otros Europa;49;1;0
1970;1973;Oriente Medio;Arabia Saudí;50;1;20891,584
1970;1973;Oriente Medio;EAU;51;1;2878,049
1970;1973;Oriente Medio;Irak;52;1;2589,42
1970;1973;Oriente Medio;Irán;53;1;5384,31
1970;1973;Oriente Medio;Kuwait;54;1;2828,659
1970;1973;Oriente Medio;Omán;55;1;0
1970;1973;Oriente Medio;Qatar;56;1;0,498
1970;1973;Oriente Medio;Siria;57;1;0
1970;1973;Oriente Medio;Yemen;58;1;0
1970;1973;Oriente Medio;Otros OM;59;1;0
1970;1973;Asia-Pacífico;China;61;1;0
1970;1973;Asia-Pacífico;India;62;1;0
1970;1973;Asia-Pacífico;Indonesia;63;1;0
1970;1974;África;Angola;1;1;0
1970;1974;África;Argelia;2;1;2699,17
1970;1974;África;Benin;3;1;0
1970;1974;África;Camerún;4;1;0
1970;1974;África;Congo;5;1;0
1970;1974;África;Egipto;6;1;0
1970;1974;África;Gabón;7;1;102,128
1970;1974;África;Guinea Ecuatorial;9;1;0
1970;1974;África;Libia;10;1;2555,817
1970;1974;África;Nigeria;11;1;68,562
1970;1974;África;Túnez;12;1;0
1970;1974;África;Zaire;13;1;0
1970;1974;África;Otros África;14;1;0
1970;1974;América;Argentina;16;1;0
1970;1974;América;Brasil;17;1;0
1970;1974;América;Canadá;18;1;0
1970;1974;América;Colombia;19;1;0
1970;1974;América;Cuba;20;1;0
1970;1974;América;Ecuador;21;1;0
1970;1974;América;Estados Unidos;22;1;0
1970;1974;América;México;23;1;0
1970;1974;América;Trinidad y Tobago;24;1;0
1970;1974;América;Venezuela;25;1;1539,739
1970;1974;América;Otros América;26;1;0
1970;1974;Europa y Euroasia;Alemania;28;1;0
1970;1974;Europa y Euroasia;Azerbaiyán;29;1;0
1970;1974;Europa y Euroasia;Dinamarca;30;1;0
1970;1974;Europa y Euroasia;Estonia;31;1;0
1970;1974;Europa y Euroasia;Francia;32;1;0
1970;1974;Europa y Euroasia;Georgia;33;1;0
1970;1974;Europa y Euroasia;Grecia;34;1;0
1970;1974;Europa y Euroasia;Italia;35;1;0
1970;1974;Europa y Euroasia;Kazajistán;36;1;0
1970;1974;Europa y Euroasia;Letonia;37;1;0
1970;1974;Europa y Euroasia;Lituania;38;1;0
1970;1974;Europa y Euroasia;Noruega;39;1;0
1970;1974;Europa y Euroasia;Países Bajos;40;1;0
1970;1974;Europa y Euroasia;Polonia;41;1;0
1970;1974;Europa y Euroasia;Reino Unido;42;1;0
1970;1974;Europa y Euroasia;Rumania;43;1;0
1970;1974;Europa y Euroasia;Rusia;44;1;343,741
1970;1974;Europa y Euroasia;Suecia;45;1;0
1970;1974;Europa y Euroasia;Turquía;46;1;0
1970;1974;Europa y Euroasia;Ucrania;47;1;0
1970;1974;Europa y Euroasia;Otros FSU;48;1;0
1970;1974;Europa y Euroasia;Otros Europa;49;1;0
1970;1974;Oriente Medio;Arabia Saudí;50;1;26930,758
1970;1974;Oriente Medio;EAU;51;1;2743,658
1970;1974;Oriente Medio;Irak;52;1;3353,264
1970;1974;Oriente Medio;Irán;53;1;3072,009
1970;1974;Oriente Medio;Kuwait;54;1;1743,216
1970;1974;Oriente Medio;Omán;55;1;0
1970;1974;Oriente Medio;Qatar;56;1;0
1970;1974;Oriente Medio;Siria;57;1;0
1970;1974;Oriente Medio;Yemen;58;1;0
1970;1974;Oriente Medio;Otros OM;59;1;0
1970;1974;Asia-Pacífico;China;61;1;0
1970;1974;Asia-Pacífico;India;62;1;0
1970;1974;Asia-Pacífico;Indonesia;63;1;0
1970;1975;África;Angola;1;1;189,042
1970;1975;África;Argelia;2;1;1485,298
1970;1975;África;Benin;3;1;0
1970;1975;África;Camerún;4;1;0
1970;1975;África;Congo;5;1;0
1970;1975;África;Egipto;6;1;99,566
1970;1975;África;Gabón;7;1;1781,151
1970;1975;África;Guinea Ecuatorial;9;1;0
1970;1975;África;Libia;10;1;3180,731
1970;1975;África;Nigeria;11;1;68,368
1970;1975;África;Túnez;12;1;0
1970;1975;África;Zaire;13;1;0
1970;1975;África;Otros África;14;1;0
1970;1975;América;Argentina;16;1;0
1970;1975;América;Brasil;17;1;0
1970;1975;América;Canadá;18;1;0
1970;1975;América;Colombia;19;1;0
1970;1975;América;Cuba;20;1;0
1970;1975;América;Ecuador;21;1;0
1970;1975;América;Estados Unidos;22;1;0
1970;1975;América;México;23;1;0
1970;1975;América;Trinidad y Tobago;24;1;0
1970;1975;América;Venezuela;25;1;1087,592
1970;1975;América;Otros América;26;1;0
1970;1975;Europa y Euroasia;Alemania;28;1;0
1970;1975;Europa y Euroasia;Azerbaiyán;29;1;0
1970;1975;Europa y Euroasia;Dinamarca;30;1;0
1970;1975;Europa y Euroasia;Estonia;31;1;0
1970;1975;Europa y Euroasia;Francia;32;1;0
1970;1975;Europa y Euroasia;Georgia;33;1;0
1970;1975;Europa y Euroasia;Grecia;34;1;0
1970;1975;Europa y Euroasia;Italia;35;1;0
1970;1975;Europa y Euroasia;Kazajistán;36;1;0
1970;1975;Europa y Euroasia;Letonia;37;1;0
1970;1975;Europa y Euroasia;Lituania;38;1;0
1970;1975;Europa y Euroasia;Noruega;39;1;0
1970;1975;Europa y Euroasia;Países Bajos;40;1;0
1970;1975;Europa y Euroasia;Polonia;41;1;0
1970;1975;Europa y Euroasia;Reino Unido;42;1;0
1970;1975;Europa y Euroasia;Rumania;43;1;0
1970;1975;Europa y Euroasia;Rusia;44;1;663,351
1970;1975;Europa y Euroasia;Suecia;45;1;0
1970;1975;Europa y Euroasia;Turquía;46;1;0
1970;1975;Europa y Euroasia;Ucrania;47;1;0
1970;1975;Europa y Euroasia;Otros FSU;48;1;0
1970;1975;Europa y Euroasia;Otros Europa;49;1;0
1970;1975;Oriente Medio;Arabia Saudí;50;1;17548,928
1970;1975;Oriente Medio;EAU;51;1;3026,95
1970;1975;Oriente Medio;Irak;52;1;5937,973
1970;1975;Oriente Medio;Irán;53;1;4625,593
1970;1975;Oriente Medio;Kuwait;54;1;1552,484
1970;1975;Oriente Medio;Omán;55;1;0
1970;1975;Oriente Medio;Qatar;56;1;109,296
1970;1975;Oriente Medio;Siria;57;1;0
1970;1975;Oriente Medio;Yemen;58;1;0
1970;1975;Oriente Medio;Otros OM;59;1;111,777
1970;1975;Asia-Pacífico;China;61;1;0
1970;1975;Asia-Pacífico;India;62;1;0
1970;1975;Asia-Pacífico;Indonesia;63;1;0
1970;1976;África;Angola;1;1;0
1970;1976;África;Argelia;2;1;1105,496
1970;1976;África;Benin;3;1;0
1970;1976;África;Camerún;4;1;0
1970;1976;África;Congo;5;1;258,656
1970;1976;África;Egipto;6;1;0
1970;1976;África;Gabón;7;1;605,466
1970;1976;África;Guinea Ecuatorial;9;1;0
1970;1976;África;Libia;10;1;4522,079
1970;1976;África;Nigeria;11;1;72,875
1970;1976;África;Túnez;12;1;123,601
1970;1976;África;Zaire;13;1;0
1970;1976;África;Otros África;14;1;0
1970;1976;América;Argentina;16;1;0
1970;1976;América;Brasil;17;1;0
1970;1976;América;Canadá;18;1;0
1970;1976;América;Colombia;19;1;0
1970;1976;América;Cuba;20;1;0
1970;1976;América;Ecuador;21;1;0
1970;1976;América;Estados Unidos;22;1;0
1970;1976;América;México;23;1;0
1970;1976;América;Trinidad y Tobago;24;1;0
1970;1976;América;Venezuela;25;1;1026,731
1970;1976;América;Otros América;26;1;0
1970;1976;Europa y Euroasia;Alemania;28;1;0
1970;1976;Europa y Euroasia;Azerbaiyán;29;1;0
1970;1976;Europa y Euroasia;Dinamarca;30;1;0
1970;1976;Europa y Euroasia;Estonia;31;1;0
1970;1976;Europa y Euroasia;Francia;32;1;0
1970;1976;Europa y Euroasia;Georgia;33;1;0
1970;1976;Europa y Euroasia;Grecia;34;1;0
1970;1976;Europa y Euroasia;Italia;35;1;0
1970;1976;Europa y Euroasia;Kazajistán;36;1;0
1970;1976;Europa y Euroasia;Letonia;37;1;0
1970;1976;Europa y Euroasia;Lituania;38;1;0
1970;1976;Europa y Euroasia;Noruega;39;1;0
1970;1976;Europa y Euroasia;Países Bajos;40;1;0
1970;1976;Europa y Euroasia;Polonia;41;1;0
1970;1976;Europa y Euroasia;Reino Unido;42;1;0
1970;1976;Europa y Euroasia;Rumania;43;1;0
1970;1976;Europa y Euroasia;Rusia;44;1;913,122
1970;1976;Europa y Euroasia;Suecia;45;1;0
1970;1976;Europa y Euroasia;Turquía;46;1;0
1970;1976;Europa y Euroasia;Ucrania;47;1;0
1970;1976;Europa y Euroasia;Otros FSU;48;1;0
1970;1976;Europa y Euroasia;Otros Europa;49;1;0
1970;1976;Oriente Medio;Arabia Saudí;50;1;17036,116
1970;1976;Oriente Medio;EAU;51;1;4176,385
1970;1976;Oriente Medio;Irak;52;1;3856,981
1970;1976;Oriente Medio;Irán;53;1;11853,617
1970;1976;Oriente Medio;Kuwait;54;1;2966,382
1970;1976;Oriente Medio;Omán;55;1;0
1970;1976;Oriente Medio;Qatar;56;1;0
1970;1976;Oriente Medio;Siria;57;1;0
1970;1976;Oriente Medio;Yemen;58;1;0
1970;1976;Oriente Medio;Otros OM;59;1;0
1970;1976;Asia-Pacífico;China;61;1;0
1970;1976;Asia-Pacífico;India;62;1;0
1970;1976;Asia-Pacífico;Indonesia;63;1;0
1970;1977;África;Angola;1;1;0
1970;1977;África;Argelia;2;1;990,817
1970;1977;África;Benin;3;1;0
1970;1977;África;Camerún;4;1;0
1970;1977;África;Congo;5;1;239,473
1970;1977;África;Egipto;6;1;0
1970;1977;África;Gabón;7;1;226,349
1970;1977;África;Guinea Ecuatorial;9;1;0
1970;1977;África;Libia;10;1;4769,061
1970;1977;África;Nigeria;11;1;0
1970;1977;África;Túnez;12;1;0
1970;1977;África;Zaire;13;1;0
1970;1977;África;Otros África;14;1;0
1970;1977;América;Argentina;16;1;0
1970;1977;América;Brasil;17;1;0
1970;1977;América;Canadá;18;1;0
1970;1977;América;Colombia;19;1;0
1970;1977;América;Cuba;20;1;0
1970;1977;América;Ecuador;21;1;0
1970;1977;América;Estados Unidos;22;1;0
1970;1977;América;México;23;1;59,06
1970;1977;América;Trinidad y Tobago;24;1;0
1970;1977;América;Venezuela;25;1;1081,3
1970;1977;América;Otros América;26;1;0
1970;1977;Europa y Euroasia;Alemania;28;1;0
1970;1977;Europa y Euroasia;Azerbaiyán;29;1;0
1970;1977;Europa y Euroasia;Dinamarca;30;1;0
1970;1977;Europa y Euroasia;Estonia;31;1;0
1970;1977;Europa y Euroasia;Francia;32;1;0
1970;1977;Europa y Euroasia;Georgia;33;1;0
1970;1977;Europa y Euroasia;Grecia;34;1;0
1970;1977;Europa y Euroasia;Italia;35;1;0
1970;1977;Europa y Euroasia;Kazajistán;36;1;0
1970;1977;Europa y Euroasia;Letonia;37;1;0
1970;1977;Europa y Euroasia;Lituania;38;1;0
1970;1977;Europa y Euroasia;Noruega;39;1;0
1970;1977;Europa y Euroasia;Países Bajos;40;1;0
1970;1977;Europa y Euroasia;Polonia;41;1;0
1970;1977;Europa y Euroasia;Reino Unido;42;1;0
1970;1977;Europa y Euroasia;Rumania;43;1;0
1970;1977;Europa y Euroasia;Rusia;44;1;608,322
1970;1977;Europa y Euroasia;Suecia;45;1;0
1970;1977;Europa y Euroasia;Turquía;46;1;0
